q, m, likelihood
3.459835151885042315e+00,2.926780054986605428e+00,1.000000000000000000e+00
3.425846968200102705e+00,2.093671052476464567e+00,1.000000000000000000e+00
3.448616373293945436e+00,1.088258945996125382e+00,1.000000000000000000e+00
3.447314319347389411e+00,2.738397457028681536e+00,1.000000000000000000e+00
3.457448024158425781e+00,1.174806479117612046e+00,1.000000000000000000e+00
3.437026011074243659e+00,2.527175101997888973e+00,1.000000000000000000e+00
3.479660548030703460e+00,1.360206215477075986e+00,1.000000000000000000e+00
3.443883882282167352e+00,1.238822308196645849e+00,1.000000000000000000e+00
3.459442480608557080e+00,2.751092642124892684e+00,1.000000000000000000e+00
3.460181575064648296e+00,1.693931693581362419e+00,1.000000000000000000e+00
3.422474022450038067e+00,2.644367833584688743e+00,1.000000000000000000e+00
3.426289502250054575e+00,2.454786504029382588e+00,1.000000000000000000e+00
3.448618133691850662e+00,1.926922045396925354e+00,1.000000000000000000e+00
3.472190033820691024e+00,2.626341661405720451e+00,1.000000000000000000e+00
3.470738993901553826e+00,2.244354554423383163e+00,1.000000000000000000e+00
3.457448024158425781e+00,1.174806479117612046e+00,1.000000000000000000e+00
3.444049297768437157e+00,2.211138170921275403e+00,1.000000000000000000e+00
3.457448024158425781e+00,1.174806479117612046e+00,1.000000000000000000e+00
3.465668267873362574e+00,1.007274744807162614e+00,1.000000000000000000e+00
3.483084327462202534e+00,2.509770897013285484e+00,1.000000000000000000e+00
3.428038901033890973e+00,2.106739896362045172e+00,1.000000000000000000e+00
3.446015566135639308e+00,2.275502673932292552e+00,1.000000000000000000e+00
3.479982020278256538e+00,2.652519422319724374e+00,1.000000000000000000e+00
3.446800655573511118e+00,1.015800962818590669e+00,1.000000000000000000e+00
3.447781187870737618e+00,2.345806263408171333e+00,1.000000000000000000e+00
3.471584964626725611e+00,2.911346761077573397e+00,1.000000000000000000e+00
3.437026011074243659e+00,2.527175101997888973e+00,1.000000000000000000e+00
3.470738993901553826e+00,2.244354554423383163e+00,1.000000000000000000e+00
3.421377044443673743e+00,1.542546568708097032e+00,1.000000000000000000e+00
3.447314319347389411e+00,2.738397457028681536e+00,1.000000000000000000e+00
3.459442480608557080e+00,2.751092642124892684e+00,1.000000000000000000e+00
3.437026011074243659e+00,2.527175101997888973e+00,1.000000000000000000e+00
3.428727801101882466e+00,1.155876353854845551e+00,1.000000000000000000e+00
3.465883839865565808e+00,2.511727208977712511e+00,1.000000000000000000e+00
3.453431479084719147e+00,1.765973087184601775e+00,1.000000000000000000e+00
3.418487271186813281e+00,1.615761223539816438e+00,1.000000000000000000e+00
3.424732067922493073e+00,1.942859658887191365e+00,1.000000000000000000e+00
3.472227632760102711e+00,2.214955482130009479e+00,1.000000000000000000e+00
3.457011815593571846e+00,1.733150534089543671e+00,1.000000000000000000e+00
3.431329502802458631e+00,2.357030854190490299e+00,1.000000000000000000e+00
3.447656765416835523e+00,1.405233557673319700e+00,1.000000000000000000e+00
3.483084327462202534e+00,2.509770897013285484e+00,1.000000000000000000e+00
3.434655226667604921e+00,2.813334656026465819e+00,1.000000000000000000e+00
3.460681716028404686e+00,2.160007587214625158e+00,1.000000000000000000e+00
3.461150274641629387e+00,2.910438365288090079e+00,1.000000000000000000e+00
3.449274234171883613e+00,2.288470428839021409e+00,1.000000000000000000e+00
3.457448024158425781e+00,1.174806479117612046e+00,1.000000000000000000e+00
3.450896974242434911e+00,1.085023090978683991e+00,1.000000000000000000e+00
3.439769722950496877e+00,2.425093399731949706e+00,1.000000000000000000e+00
3.457011815593571846e+00,1.733150534089543671e+00,1.000000000000000000e+00
3.464437085533750516e+00,2.102361812196450686e+00,1.000000000000000000e+00
3.450898969583765741e+00,1.937163752658979110e+00,1.000000000000000000e+00
3.448618133691850662e+00,1.926922045396925354e+00,1.000000000000000000e+00
3.478122223900331988e+00,1.385794391507674472e+00,1.000000000000000000e+00
3.455116581539653620e+00,1.174130598807255899e+00,1.000000000000000000e+00
3.428038901033890973e+00,2.106739896362045172e+00,1.000000000000000000e+00
3.444512369458510914e+00,1.465512735003362987e+00,1.000000000000000000e+00
3.451053403808941322e+00,1.141987381865663176e+00,1.000000000000000000e+00
3.461150274641629387e+00,2.910438365288090079e+00,1.000000000000000000e+00
3.439769722950496877e+00,2.425093399731949706e+00,1.000000000000000000e+00
3.428727801101882466e+00,1.155876353854845551e+00,1.000000000000000000e+00
3.433489052985837731e+00,1.515963311948923309e+00,1.000000000000000000e+00
3.422392564060347198e+00,1.273180359645267101e+00,1.000000000000000000e+00
3.461150274641629387e+00,2.910438365288090079e+00,1.000000000000000000e+00
3.466018022635708462e+00,2.456840705360786359e+00,1.000000000000000000e+00
3.430590889924531428e+00,2.724375669364187402e+00,1.000000000000000000e+00
3.428727801101882466e+00,1.155876353854845551e+00,1.000000000000000000e+00
3.434655226667604921e+00,2.813334656026465819e+00,1.000000000000000000e+00
3.447775557968033588e+00,2.379564370148211427e+00,1.000000000000000000e+00
3.447656765416835523e+00,1.405233557673319700e+00,1.000000000000000000e+00
3.446800655573511118e+00,1.015800962818590669e+00,1.000000000000000000e+00
3.424732067922493073e+00,1.942859658887191365e+00,1.000000000000000000e+00
3.472190033820691024e+00,2.626341661405720451e+00,1.000000000000000000e+00
3.447656765416835523e+00,1.405233557673319700e+00,1.000000000000000000e+00
3.459442480608557080e+00,2.751092642124892684e+00,1.000000000000000000e+00
3.447656765416835523e+00,1.405233557673319700e+00,1.000000000000000000e+00
3.409028823660395169e+00,2.023449796396834088e+00,1.000000000000000000e+00
3.437026011074243659e+00,2.527175101997888973e+00,1.000000000000000000e+00
3.457011815593571846e+00,1.733150534089543671e+00,1.000000000000000000e+00
3.466970792622173114e+00,2.160361017342551371e+00,1.000000000000000000e+00
3.449274234171883613e+00,2.288470428839021409e+00,1.000000000000000000e+00
3.464911320260633421e+00,1.727262552263440165e+00,1.000000000000000000e+00
3.473199093197571585e+00,2.782809702367192717e+00,1.000000000000000000e+00
3.444049297768437157e+00,2.211138170921275403e+00,1.000000000000000000e+00
3.425846968200102705e+00,2.093671052476464567e+00,1.000000000000000000e+00
3.442086684092716897e+00,2.984611840302907826e+00,1.000000000000000000e+00
3.418315546494888224e+00,2.356939737027381909e+00,1.000000000000000000e+00
3.444049297768437157e+00,2.211138170921275403e+00,1.000000000000000000e+00
3.430590889924531428e+00,2.724375669364187402e+00,1.000000000000000000e+00
3.461150274641629387e+00,2.910438365288090079e+00,1.000000000000000000e+00
3.447656765416835523e+00,1.405233557673319700e+00,1.000000000000000000e+00
3.429330571286316687e+00,1.331428458292906347e+00,1.000000000000000000e+00
3.444512369458510914e+00,1.465512735003362987e+00,1.000000000000000000e+00
3.428727801101882466e+00,1.155876353854845551e+00,1.000000000000000000e+00
3.441943436938487366e+00,1.747796612709110020e+00,1.000000000000000000e+00
3.460181575064648296e+00,1.693931693581362419e+00,1.000000000000000000e+00
3.460181575064648296e+00,1.693931693581362419e+00,1.000000000000000000e+00
3.447781187870737618e+00,2.345806263408171333e+00,1.000000000000000000e+00
3.441943436938487366e+00,1.747796612709110020e+00,1.000000000000000000e+00
3.421749166327271663e+00,2.773138462211177657e+00,1.000000000000000000e+00
