m,likelihood
1.678476283634210642e+00,1.000000000000000000e+00
1.713266200364287561e+00,1.000000000000000000e+00
1.856495312312938406e+00,1.000000000000000000e+00
1.627276986988241303e+00,1.000000000000000000e+00
1.765393219104734124e+00,1.000000000000000000e+00
1.372277373689455793e+00,1.000000000000000000e+00
1.640128253331886388e+00,1.000000000000000000e+00
1.551650994083865420e+00,1.000000000000000000e+00
1.815889327780772167e+00,1.000000000000000000e+00
1.983322659785901276e+00,1.000000000000000000e+00
1.537998185199372703e+00,1.000000000000000000e+00
1.608729087277116943e+00,1.000000000000000000e+00
1.888500211846580124e+00,1.000000000000000000e+00
1.602747581634421437e+00,1.000000000000000000e+00
1.673134687191507597e+00,1.000000000000000000e+00
1.441461946958090712e+00,1.000000000000000000e+00
1.822359653121965462e+00,1.000000000000000000e+00
1.665435488926174656e+00,1.000000000000000000e+00
1.223059492586575203e+00,1.000000000000000000e+00
1.724388424787550500e+00,1.000000000000000000e+00
1.851907722404833478e+00,1.000000000000000000e+00
1.665810021151703513e+00,1.000000000000000000e+00
1.480426995080030173e+00,1.000000000000000000e+00
1.767245843985199016e+00,1.000000000000000000e+00
1.947616450686375345e+00,1.000000000000000000e+00
1.396811060147323813e+00,1.000000000000000000e+00
1.895037879300855543e+00,1.000000000000000000e+00
1.300300549881923118e+00,1.000000000000000000e+00
1.745732334977200484e+00,1.000000000000000000e+00
1.652916102052553571e+00,1.000000000000000000e+00
1.388436043816324794e+00,1.000000000000000000e+00
1.518331375790715754e+00,1.000000000000000000e+00
1.881806842167957017e+00,1.000000000000000000e+00
1.939641530275365122e+00,1.000000000000000000e+00
1.551251521555293778e+00,1.000000000000000000e+00
1.787685388386324847e+00,1.000000000000000000e+00
1.555370806352600388e+00,1.000000000000000000e+00
1.606357879541478573e+00,1.000000000000000000e+00
2.137195004119640362e+00,1.000000000000000000e+00
1.934480122869604024e+00,1.000000000000000000e+00
1.556294448465893820e+00,1.000000000000000000e+00
1.817394729924167729e+00,1.000000000000000000e+00
1.827544262631233929e+00,1.000000000000000000e+00
1.686813412450511640e+00,1.000000000000000000e+00
1.640801399462127552e+00,1.000000000000000000e+00
1.581329873832021393e+00,1.000000000000000000e+00
1.320798401434275737e+00,1.000000000000000000e+00
1.683740821061004089e+00,1.000000000000000000e+00
2.004221689146917562e+00,1.000000000000000000e+00
1.533625217058847801e+00,1.000000000000000000e+00
2.035646583041166746e+00,1.000000000000000000e+00
1.650294323834324173e+00,1.000000000000000000e+00
1.675791273001145942e+00,1.000000000000000000e+00
1.807397411927328834e+00,1.000000000000000000e+00
1.556139217786175033e+00,1.000000000000000000e+00
1.593466864763237067e+00,1.000000000000000000e+00
2.354702531661934106e+00,1.000000000000000000e+00
2.132472846461005211e+00,1.000000000000000000e+00
1.598482852183400915e+00,1.000000000000000000e+00
2.316979353705019840e+00,1.000000000000000000e+00
1.988270739987843427e+00,1.000000000000000000e+00
1.847154520192557214e+00,1.000000000000000000e+00
1.541298250518482904e+00,1.000000000000000000e+00
1.922098299920738551e+00,1.000000000000000000e+00
1.849374113345623849e+00,1.000000000000000000e+00
2.118627069151493458e+00,1.000000000000000000e+00
1.669870593495778266e+00,1.000000000000000000e+00
1.263688476669650118e+00,1.000000000000000000e+00
1.690159109554202344e+00,1.000000000000000000e+00
1.877779876367186240e+00,1.000000000000000000e+00
1.752241596152346315e+00,1.000000000000000000e+00
1.749053403174451349e+00,1.000000000000000000e+00
1.799524927099844573e+00,1.000000000000000000e+00
1.641023638690964015e+00,1.000000000000000000e+00
1.569198738179979902e+00,1.000000000000000000e+00
1.395925722978841321e+00,1.000000000000000000e+00
1.194543954841309930e+00,1.000000000000000000e+00
1.562056615415787109e+00,1.000000000000000000e+00
1.950157535462493819e+00,1.000000000000000000e+00
1.714886888253770225e+00,1.000000000000000000e+00
1.619842636576428907e+00,1.000000000000000000e+00
1.864156423705477295e+00,1.000000000000000000e+00
1.616656210348998091e+00,1.000000000000000000e+00
1.820683022062733469e+00,1.000000000000000000e+00
1.356379029547732040e+00,1.000000000000000000e+00
1.896686303174352828e+00,1.000000000000000000e+00
1.727238456780356479e+00,1.000000000000000000e+00
1.828120193536826310e+00,1.000000000000000000e+00
1.996532668639245500e+00,1.000000000000000000e+00
1.895414607942741414e+00,1.000000000000000000e+00
1.590844873404742232e+00,1.000000000000000000e+00
1.715526213545836898e+00,1.000000000000000000e+00
1.633495426815683160e+00,1.000000000000000000e+00
1.601737158726984189e+00,1.000000000000000000e+00
1.645810681040129397e+00,1.000000000000000000e+00
1.580492915513136420e+00,1.000000000000000000e+00
1.799086583005879980e+00,1.000000000000000000e+00
1.636375085880764413e+00,1.000000000000000000e+00
1.765208763007366732e+00,1.000000000000000000e+00
1.729824113755471515e+00,1.000000000000000000e+00
